net,length_um
_06616_,18.62
u_sram.mem\[62\]\[21\],18.62
u_uart.w_byte\[0\],18.62
_01469_,18.6
_05353_,18.6
_07677_,18.6
_08841_,18.6
_10394_,18.6
_06310_,18.58
_11353_,18.58
u_cpu.cpuregs\[25\]\[6\],18.58
u_cpu.cpuregs\[5\]\[25\],18.58
u_cpu.cpuregs\[6\]\[11\],18.58
u_sram.mem\[51\]\[21\],18.58
net2203,18.58
_04428_,18.56
_10379_,18.56
_13866_,18.56
u_cpu.cpuregs\[5\]\[10\],18.56
net1950,18.56
_08720_,18.54
_09970_,18.54
u_cpu.cpuregs\[5\]\[28\],18.54
_05555_,18.52
_05811_,18.52
_09211_,18.52
u_cpu.cpuregs\[15\]\[9\],18.52
u_cpu.cpuregs\[3\]\[4\],18.52
u_cpu.cpuregs\[5\]\[8\],18.52
net3976,18.52
net4841,18.52
_04543_,18.5
_07189_,18.5
_10404_,18.5
_10712_,18.5
u_cpu.cpuregs\[31\]\[23\],18.5
u_sram.mem\[32\]\[5\],18.5
u_uart.rx_buf_data\[7\],18.5
_05289_,18.48
_06085_,18.48
_07730_,18.48
_09026_,18.48
_10288_,18.48
_11528_,18.48
u_cpu.cpuregs\[27\]\[19\],18.48
net4277,18.48
_06665_,18.46
_08715_,18.46
_10243_,18.46
net2135,18.46
net4247,18.46
u_interconnect.m_axi_wdata\[5\],18.44
net4487,18.44
net1367,18.425
_08393_,18.42
net4307,18.42
_09942_,18.4
u_sram.mem\[48\]\[5\],18.4
_10814_,18.39
_12150_,18.38
_13640_,18.38
_13733_,18.38
net4589,18.38
_01768_,18.36
_06483_,18.36
_08215_,18.36
_08329_,18.36
u_cpu.cpuregs\[17\]\[0\],18.36
u_cpu.cpuregs\[1\]\[7\],18.36
u_cpu.cpuregs\[23\]\[19\],18.36
u_sram.mem\[49\]\[17\],18.36
net1799,18.36
net3973,18.36
net1220,18.345
_07680_,18.34
_08268_,18.34
net2996,18.34
_05520_,18.32
_07961_,18.32
_10467_,18.32
_12162_,18.32
u_cpu.cpuregs\[25\]\[9\],18.32
net2720,18.32
net2778,18.32
net3334,18.32
net4760,18.315
_06697_,18.3
_06913_,18.3
_11900_,18.3
u_cpu.cpuregs\[10\]\[18\],18.3
u_cpu.cpuregs\[17\]\[13\],18.3
net2168,18.3
_04351_,18.28
_04935_,18.28
_09624_,18.28
_13607_,18.28
u_cpu.cpuregs\[28\]\[25\],18.28
u_cpu.cpuregs\[8\]\[18\],18.28
u_cpu.mem_state\[0\],18.28
u_interconnect.m_axi_awaddr\[6\],18.28
net1774,18.28
_04949_,18.26
u_cpu.cpuregs\[7\]\[15\],18.26
u_cpu.cpuregs\[8\]\[5\],18.26
u_sram.mem\[29\]\[9\],18.26
net3601,18.26
_08418_,18.24
net1670,18.24
_10892_,18.22
_11298_,18.22
_11850_,18.22
u_cpu.cpuregs\[11\]\[27\],18.22
u_cpu.cpuregs\[27\]\[7\],18.22
_05797_,18.2
u_cpu.cpuregs\[27\]\[24\],18.2
u_sram.mem\[54\]\[21\],18.2
u_sram.mem\[56\]\[18\],18.2
net2020,18.2
net2262,18.2
u_cpu.cpuregs\[0\]\[14\],18.18
u_cpu.cpuregs\[3\]\[14\],18.18
_08132_,18.16
_14337_,18.16
u_sram.mem\[41\]\[16\],18.16
net610,18.16
_10420_,18.14
u_cpu.cpuregs\[0\]\[5\],18.14
net4748,18.14
_05539_,18.13
_06000_,18.12
_06634_,18.12
net2095,18.12
_09279_,18.11
_06143_,18.1
_10518_,18.1
net1388,18.1
net338,18.085
net482,18.085
_06248_,18.08
u_cpu.cpuregs\[21\]\[18\],18.08
u_sram.mem\[30\]\[8\],18.08
u_sram.mem\[62\]\[14\],18.08
net4235,18.08
net4591,18.08
u_cpu.cpuregs\[23\]\[29\],18.06
u_sram.mem\[60\]\[7\],18.06
_09047_,18.04
_11269_,18.04
_13828_,18.04
_14124_,18.04
net4219,18.03
net1493,18.025
_14262_,18.02
_14576_,18.02
u_cpu.cpuregs\[1\]\[18\],18.02
u_cpu.cpuregs\[9\]\[2\],18.02
u_sram.mem\[47\]\[23\],18.02
net2284,18.02
_08182_,18
u_cpu.cpuregs\[13\]\[15\],18
u_sram.mem\[39\]\[16\],18
_08901_,17.98
_13666_,17.98
_14169_,17.98
_14287_,17.98
u_cpu.cpuregs\[12\]\[26\],17.98
u_sram.mem\[47\]\[22\],17.98
u_sram.mem\[62\]\[13\],17.98
u_sram.w_strb_r\[0\],17.98
u_uart.w_byte\[7\],17.98
net2394,17.98
net3941,17.965
net1219,17.96
net4491,17.945
_04307_,17.94
_10304_,17.94
cpu_mem_wdata\[15\],17.94
u_cpu.cpuregs\[13\]\[18\],17.94
u_sram.mem\[47\]\[28\],17.94
net4032,17.94
net2348,17.925
_10687_,17.92
u_sram.mem\[31\]\[22\],17.92
net1152,17.92
_01769_,17.9
_04513_,17.9
_06863_,17.9
_12156_,17.9
u_cpu.cpuregs\[7\]\[20\],17.9
u_sram.mem\[32\]\[4\],17.9
net1881,17.9
net50,17.89
_09973_,17.88
u_cpu.cpuregs\[1\]\[5\],17.88
_04659_,17.86
u_cpu.cpuregs\[9\]\[18\],17.86
net4706,17.86
net4715,17.86
u_sram.mem\[51\]\[6\],17.85
net2305,17.85
net4743,17.845
_13487_,17.84
u_cpu.cpuregs\[1\]\[14\],17.84
u_cpu.cpuregs\[2\]\[12\],17.84
net770,17.84
net1644,17.83
_04430_,17.82
_05815_,17.82
_09816_,17.82
_11698_,17.82
_12027_,17.82
_13458_,17.82
u_cpu.cpuregs\[29\]\[10\],17.82
u_sram.mem\[42\]\[16\],17.82
net1651,17.82
u_uart.u_rx.clk_cnt\[5\],17.815
_04952_,17.8
_05713_,17.8
_07697_,17.8
_08177_,17.8
_11049_,17.8
_11863_,17.8
_11973_,17.8
_12037_,17.8
net4337,17.785
_05034_,17.78
_05126_,17.78
_06387_,17.78
_13144_,17.78
u_cpu.cpuregs\[20\]\[16\],17.78
u_cpu.cpuregs\[25\]\[2\],17.78
_11668_,17.76
_13756_,17.76
net2244,17.76
u_sram.mem\[2\]\[16\],17.745
_12996_,17.74
u_cpu.cpuregs\[30\]\[18\],17.74
u_uart.tx_data\[3\],17.74
_11455_,17.72
u_cpu.cpuregs\[16\]\[26\],17.72
u_cpu.cpuregs\[18\]\[17\],17.72
u_cpu.cpuregs\[7\]\[18\],17.72
u_sram.mem\[61\]\[18\],17.72
net2242,17.72
_04551_,17.7
_04557_,17.7
_05259_,17.7
_05588_,17.7
_06708_,17.7
_09445_,17.7
_09855_,17.7
_11088_,17.7
_12254_,17.7
u_cpu.cpuregs\[16\]\[0\],17.7
u_cpu.cpuregs\[22\]\[21\],17.695
net4600,17.695
_05708_,17.68
_07645_,17.68
_08116_,17.68
_08216_,17.68
_09566_,17.68
u_cpu.cpuregs\[1\]\[11\],17.68
_08949_,17.66
_09186_,17.66
_10018_,17.66
_12023_,17.66
u_cpu.cpuregs\[14\]\[26\],17.66
_05010_,17.64
_08848_,17.64
_13624_,17.64
u_cpu.cpuregs\[5\]\[7\],17.64
u_sram.mem\[45\]\[8\],17.64
net3631,17.64
_10047_,17.62
u_cpu.cpuregs\[0\]\[22\],17.62
u_cpu.cpuregs\[0\]\[23\],17.62
net4545,17.62
_04585_,17.6
_07933_,17.6
_09096_,17.6
u_cpu.cpuregs\[3\]\[13\],17.6
net3850,17.6
_06557_,17.58
_09860_,17.58
u_cpu.cpuregs\[23\]\[26\],17.58
u_cpu.cpuregs\[25\]\[19\],17.58
u_sram.mem\[11\]\[29\],17.58
u_sram.mem\[17\]\[19\],17.58
u_sram.mem\[34\]\[8\],17.58
net2123,17.58
_05190_,17.56
_12140_,17.56
_13534_,17.56
u_cpu.cpuregs\[17\]\[11\],17.56
u_cpu.cpuregs\[5\]\[29\],17.56
net2628,17.56
net4442,17.56
u_cpu.cpuregs\[17\]\[14\],17.54
u_sram.mem\[44\]\[15\],17.54
net1275,17.54
net3848,17.54
net506,17.525
net3508,17.525
_09924_,17.52
_10377_,17.52
u_cpu.cpuregs\[13\]\[29\],17.52
u_cpu.cpuregs\[30\]\[2\],17.52
u_cpu.cpuregs\[6\]\[1\],17.52
u_cpu.cpuregs\[9\]\[23\],17.52
_08615_,17.51
net1762,17.505
_13751_,17.5
_04312_,17.48
_09484_,17.48
_11117_,17.48
_11310_,17.48
u_cpu.cpuregs\[11\]\[19\],17.48
net2127,17.48
_04969_,17.465
_05387_,17.46
_06631_,17.46
_07940_,17.46
_07979_,17.46
_08789_,17.46
_09082_,17.46
_13129_,17.46
_14033_,17.46
u_cpu.count_instr\[23\],17.46
u_cpu.cpuregs\[24\]\[25\],17.46
u_sram.mem\[47\]\[15\],17.45
_04483_,17.44
_11185_,17.44
u_sram.mem\[55\]\[8\],17.44
net1248,17.44
_12014_,17.42
u_cpu.cpuregs\[12\]\[16\],17.42
u_cpu.cpuregs\[12\]\[21\],17.42
net3157,17.415
_05983_,17.4
_10982_,17.4
_11047_,17.4
_11783_,17.4
_13314_,17.4
u_cpu.cpuregs\[20\]\[13\],17.4
u_cpu.cpuregs\[3\]\[12\],17.4
u_sram.mem\[38\]\[28\],17.4
u_sram.mem\[55\]\[4\],17.4
net4864,17.4
net2173,17.395
_07857_,17.38
_13647_,17.38
_13776_,17.38
u_sram.mem\[25\]\[14\],17.38
_07803_,17.36
u_cpu.cpuregs\[22\]\[9\],17.36
u_cpu.cpuregs\[3\]\[27\],17.36
u_cpu.mem_do_wdata,17.36
u_sram.mem\[35\]\[12\],17.36
_14503_,17.355
_05055_,17.34
_09171_,17.34
_11544_,17.34
_14544_,17.34
u_cpu.cpuregs\[17\]\[27\],17.34
u_sram.mem\[44\]\[7\],17.34
_13845_,17.32
u_cpu.cpuregs\[14\]\[25\],17.32
u_cpu.cpuregs\[6\]\[2\],17.32
u_sram.mem\[54\]\[7\],17.32
net676,17.32
net4230,17.32
_05765_,17.315
_06135_,17.3
_08529_,17.3
_09141_,17.3
cpu_mem_addr\[3\],17.3
u_sram.mem\[47\]\[27\],17.3
u_sram.mem\[57\]\[17\],17.3
net2627,17.3
net2952,17.3
_08235_,17.29
u_cpu.instr_srli,17.29
net4306,17.285
_06924_,17.28
u_cpu.cpuregs\[1\]\[30\],17.28
u_cpu.cpuregs\[22\]\[24\],17.28
u_cpu.cpuregs\[31\]\[25\],17.28
u_cpu.cpuregs\[5\]\[18\],17.28
u_sram.mem\[38\]\[5\],17.28
net223,17.28
net2061,17.28
net2413,17.28
_09267_,17.27
_05799_,17.26
_13117_,17.26
u_cpu.cpuregs\[8\]\[30\],17.26
u_sram.mem\[15\]\[14\],17.26
net1751,17.26
_04302_,17.24
_05012_,17.24
_08480_,17.24
_08628_,17.24
_09012_,17.24
_12146_,17.24
_14155_,17.24
_04520_,17.22
_05659_,17.22
_07333_,17.22
u_cpu.cpuregs\[13\]\[24\],17.22
u_cpu.cpuregs\[4\]\[8\],17.22
u_sram.mem\[11\]\[16\],17.22
u_uart.u_rx.shift_reg\[6\],17.22
net1420,17.22
_06673_,17.215
u_cpu.cpuregs\[14\]\[16\],17.2
u_cpu.cpuregs\[14\]\[17\],17.2
u_cpu.cpuregs\[4\]\[12\],17.2
u_sram.mem\[1\]\[13\],17.195
_08941_,17.18
_09129_,17.18
_13408_,17.18
_13943_,17.18
u_cpu.cpuregs\[27\]\[21\],17.18
net4220,17.18
_06419_,17.16
_06539_,17.16
_14368_,17.16
u_cpu.cpuregs\[19\]\[21\],17.16
u_sram.mem\[55\]\[16\],17.16
_05037_,17.14
_05249_,17.14
_10621_,17.14
_11590_,17.14
_13842_,17.14
u_cpu.cpuregs\[22\]\[11\],17.14
u_cpu.cpuregs\[6\]\[13\],17.14
net502,17.14
_08788_,17.13
net4787,17.13
_07613_,17.12
_08448_,17.12
_13834_,17.12
u_cpu.cpuregs\[15\]\[28\],17.12
u_cpu.cpuregs\[7\]\[8\],17.12
u_sram.mem\[45\]\[18\],17.12
u_sram.mem\[51\]\[18\],17.12
_04991_,17.1
_12108_,17.1
_13568_,17.1
u_sram.mem\[55\]\[7\],17.1
net4822,17.1
_10156_,17.08
u_cpu.count_instr\[17\],17.08
u_cpu.cpuregs\[16\]\[27\],17.08
u_cpu.cpuregs\[30\]\[29\],17.08
u_sram.mem\[57\]\[25\],17.08
net823,17.065
net2920,17.065
_10871_,17.06
_14042_,17.06
_14067_,17.06
u_cpu.cpuregs\[18\]\[28\],17.06
u_cpu.cpuregs\[20\]\[19\],17.06
u_cpu.reg_out\[19\],17.06
net4971,17.06
net5068,17.06
_06083_,17.04
_07873_,17.04
_09109_,17.04
u_cpu.cpuregs\[23\]\[31\],17.04
u_sram.mem\[17\]\[16\],17.04
u_sram.mem\[48\]\[6\],17.04
_10556_,17.025
_05029_,17.02
_08321_,17.02
_09402_,17.02
_11679_,17.02
_11778_,17.02
u_cpu.cpuregs\[29\]\[14\],17.02
net3709,17.02
net4265,17.02
_07652_,17.01
_09025_,17.01
_08516_,17
_10773_,17
_10909_,17
_11992_,17
u_cpu.cpuregs\[14\]\[31\],17
u_cpu.cpuregs\[24\]\[30\],17
net2498,17
net4378,17
net4791,17
_06571_,16.98
_12181_,16.98
u_cpu.cpuregs\[15\]\[8\],16.98
u_sram.mem\[33\]\[8\],16.98
u_sram.mem\[54\]\[4\],16.98
u_uart.w_byte\[1\],16.98
net1985,16.98
net3569,16.98
_08256_,16.96
_08627_,16.96
u_cpu.cpuregs\[5\]\[27\],16.96
net3571,16.96
_06059_,16.94
_07631_,16.94
_11394_,16.94
net2202,16.94
_05416_,16.92
_10063_,16.92
u_cpu.alu_out\[8\],16.905
_04699_,16.9
_07598_,16.9
_13550_,16.9
u_cpu.cpuregs\[4\]\[14\],16.9
u_uart.u_tx.shift_reg\[7\],16.9
net2705,16.9
_06173_,16.88
u_sram.mem\[39\]\[7\],16.88
net2499,16.87
_04584_,16.86
_05819_,16.86
_10939_,16.86
u_sram.mem\[11\]\[22\],16.86
net4609,16.86
_04546_,16.84
_04878_,16.84
_11145_,16.84
_11299_,16.84
net4366,16.84
_09061_,16.835
_05832_,16.82
u_cpu.cpuregs\[29\]\[24\],16.82
u_sram.mem\[24\]\[23\],16.82
u_sram.mem\[47\]\[19\],16.82
u_cpu.cpuregs\[0\]\[2\],16.8
u_cpu.cpuregs\[18\]\[31\],16.8
u_cpu.cpuregs\[19\]\[31\],16.8
_04569_,16.78
_08550_,16.78
_11757_,16.78
_13150_,16.78
u_cpu.cpuregs\[11\]\[17\],16.78
u_cpu.cpuregs\[8\]\[20\],16.78
u_sram.mem\[37\]\[4\],16.78
net3685,16.78
net3703,16.78
net3970,16.78
_11256_,16.775
u_sram.mem\[9\]\[18\],16.77
_05239_,16.76
_06042_,16.76
_09316_,16.76
_12187_,16.76
_13763_,16.76
u_cpu.cpuregs\[24\]\[31\],16.76
u_cpu.cpuregs\[30\]\[30\],16.76
u_sram.mem\[30\]\[20\],16.76
net1598,16.76
_07637_,16.75
_14010_,16.74
u_cpu.cpuregs\[23\]\[17\],16.74
net2077,16.74
net2751,16.74
net2197,16.73
net2919,16.73
net4429,16.725
_07627_,16.72
_09247_,16.72
_09331_,16.72
_10081_,16.72
_11790_,16.72
_14176_,16.72
u_cpu.cpuregs\[1\]\[22\],16.72
u_uart.u_rx.clk_cnt\[2\],16.72
_05191_,16.7
_06980_,16.7
_07895_,16.7
_07916_,16.7
_08651_,16.7
_10282_,16.7
_12074_,16.7
_13086_,16.7
u_cpu.cpuregs\[20\]\[17\],16.7
u_cpu.cpuregs\[6\]\[31\],16.7
u_sram.mem\[26\]\[7\],16.7
net3925,16.7
net4428,16.7
u_cpu.cpuregs\[28\]\[17\],16.69
_06001_,16.68
_08427_,16.68
_10602_,16.68
u_sram.mem\[55\]\[3\],16.68
net3271,16.68
_04921_,16.66
u_cpu.cpuregs\[14\]\[28\],16.66
u_cpu.cpuregs\[26\]\[0\],16.66
u_cpu.cpuregs\[8\]\[10\],16.66
u_sram.mem\[35\]\[21\],16.66
u_sram.mem\[49\]\[16\],16.66
_07986_,16.64
_08228_,16.64
_08798_,16.64
_11247_,16.64
_13494_,16.64
net1513,16.64
net4486,16.64
_06088_,16.62
_07023_,16.62
u_cpu.cpuregs\[10\]\[19\],16.62
u_cpu.cpuregs\[22\]\[15\],16.62
u_sram.mem\[24\]\[5\],16.62
u_sram.mem\[39\]\[18\],16.62
u_sram.mem\[42\]\[0\],16.62
u_sram.mem\[4\]\[16\],16.62
u_cpu.cpuregs\[18\]\[20\],16.61
_01816_,16.6
_13625_,16.6
_13799_,16.6
u_sram.mem\[15\]\[20\],16.6
net54,16.6
net3742,16.6
_10692_,16.59
_08961_,16.58
_11070_,16.58
_11599_,16.58
u_sram.mem\[50\]\[19\],16.58
net817,16.58
net2231,16.58
_08858_,16.56
_08932_,16.56
_09000_,16.56
_10411_,16.56
u_uart.u_rx.bit_cnt\[0\],16.56
net4403,16.56
_03126_,16.54
_05237_,16.54
_09257_,16.54
_10704_,16.54
u_cpu.cpuregs\[25\]\[23\],16.54
u_cpu.trap,16.54
u_sram.mem\[14\]\[8\],16.54
u_sram.mem\[24\]\[18\],16.54
net1946,16.54
_09834_,16.52
_11952_,16.52
u_cpu.cpuregs\[14\]\[21\],16.52
u_cpu.cpuregs\[15\]\[29\],16.52
u_sram.mem\[13\]\[20\],16.52
u_sram.mem\[34\]\[16\],16.52
u_sram.mem\[45\]\[21\],16.52
net3795,16.52
net5097,16.52
_04490_,16.5
_06820_,16.5
u_sram.mem\[54\]\[14\],16.5
net1916,16.5
_05694_,16.48
_07374_,16.48
_08357_,16.48
u_cpu.cpuregs\[3\]\[19\],16.48
net1822,16.48
_07802_,16.46
_10162_,16.46
_13761_,16.46
u_cpu.cpuregs\[8\]\[11\],16.46
u_sram.mem\[48\]\[21\],16.46
net1706,16.46
_06341_,16.44
_07968_,16.44
_12111_,16.44
u_cpu.cpuregs\[19\]\[0\],16.44
u_cpu.cpuregs\[25\]\[5\],16.44
u_cpu.cpuregs\[3\]\[28\],16.44
u_sram.mem\[3\]\[0\],16.44
net1304,16.44
net4179,16.44
net3774,16.425
_05200_,16.42
_08687_,16.42
_10278_,16.42
_13611_,16.42
u_sram.mem\[26\]\[15\],16.42
u_sram.mem\[33\]\[21\],16.42
net1948,16.42
net4666,16.42
_05068_,16.4
_05073_,16.4
_11439_,16.4
_11972_,16.4
_14172_,16.4
_14238_,16.4
u_cpu.cpuregs\[28\]\[21\],16.4
u_cpu.cpuregs\[30\]\[11\],16.4
u_sram.mem\[37\]\[9\],16.4
u_sram.mem\[41\]\[29\],16.4
u_sram.mem\[47\]\[18\],16.4
net4363,16.4
net2489,16.385
_05208_,16.38
u_cpu.cpuregs\[19\]\[17\],16.38
u_cpu.cpuregs\[29\]\[2\],16.38
u_sram.mem\[26\]\[16\],16.38
u_sram.mem\[47\]\[13\],16.38
net2072,16.38
_03640_,16.365
_05818_,16.36
_06790_,16.36
_11473_,16.36
_13004_,16.36
_13107_,16.36
_13578_,16.36
_13697_,16.36
u_cpu.cpuregs\[14\]\[8\],16.36
u_cpu.cpuregs\[23\]\[3\],16.36
u_sram.mem\[6\]\[21\],16.36
u_uart.rx_data_valid_pulse,16.36
net2052,16.36
net2184,16.36
net4050,16.36
net4446,16.36
u_sram.mem\[2\]\[14\],16.345
_00821_,16.34
_04633_,16.34
_09024_,16.34
_09890_,16.34
_13184_,16.34
u_cpu.cpuregs\[4\]\[20\],16.34
net4309,16.34
_06253_,16.32
_11403_,16.32
_12078_,16.32
u_cpu.cpuregs\[12\]\[13\],16.32
u_cpu.cpuregs\[12\]\[28\],16.32
u_cpu.cpuregs\[13\]\[0\],16.32
u_cpu.cpuregs\[15\]\[23\],16.32
net1093,16.32
net1629,16.32
_04446_,16.3
_08436_,16.3
_13499_,16.3
u_sram.mem\[55\]\[12\],16.3
u_cpu.cpuregs\[13\]\[4\],16.28
u_cpu.cpuregs\[21\]\[2\],16.28
u_sram.mem\[36\]\[23\],16.28
net1316,16.28
_06573_,16.26
_09324_,16.26
u_cpu.cpuregs\[4\]\[6\],16.26
u_cpu.cpuregs\[9\]\[31\],16.26
u_cpu.instr_or,16.26
u_sram.mem\[17\]\[21\],16.26
net184,16.26
_04599_,16.24
_07923_,16.24
_13708_,16.24
_14424_,16.24
net4460,16.24
_09463_,16.22
_10209_,16.22
_10348_,16.22
_13239_,16.22
_13891_,16.22
u_cpu.cpuregs\[0\]\[21\],16.22
net709,16.22
net4133,16.22
net4692,16.22
u_interconnect.rd_sel_r\[0\],16.21
_04533_,16.2
_05613_,16.2
_06823_,16.2
_12198_,16.2
_06206_,16.18
_10961_,16.18
_12046_,16.18
u_cpu.cpuregs\[1\]\[4\],16.18
u_sram.mem\[60\]\[20\],16.18
_05422_,16.16
_05482_,16.16
_05792_,16.16
_09064_,16.16
_14063_,16.16
u_sram.mem\[44\]\[27\],16.16
net2632,16.155
_05858_,16.14
_06805_,16.14
_11618_,16.14
_14207_,16.14
u_sram.mem\[60\]\[28\],16.14
clknet_leaf_247_clk,16.14
_08950_,16.12
_13804_,16.12
u_cpu.count_instr\[25\],16.12
u_cpu.cpuregs\[11\]\[18\],16.12
u_cpu.mem_rdata_q\[16\],16.12
u_sram.mem\[4\]\[21\],16.12
_06211_,16.1
_08395_,16.1
_10470_,16.1
_14102_,16.1
_14137_,16.1
u_cpu.cpuregs\[19\]\[23\],16.1
u_cpu.cpuregs\[26\]\[9\],16.1
u_cpu.cpuregs\[8\]\[26\],16.1
net3348,16.1
_01348_,16.085
_01590_,16.085
_08180_,16.08
_08945_,16.08
_11227_,16.08
u_cpu.cpuregs\[0\]\[15\],16.08
u_sram.mem\[17\]\[26\],16.08
u_sram.mem\[49\]\[1\],16.08
net233,16.08
net1391,16.08
net1944,16.08
net2155,16.08
u_cpu.cpuregs\[30\]\[28\],16.07
_07681_,16.06
_08191_,16.06
_10103_,16.06
_13992_,16.06
u_cpu.cpuregs\[13\]\[13\],16.06
u_cpu.cpuregs\[29\]\[8\],16.06
net884,16.06
net1951,16.06
net3852,16.06
_05344_,16.04
_09180_,16.04
_11940_,16.04
_12995_,16.04
u_sram.mem\[36\]\[31\],16.04
net1682,16.04
_06333_,16.02
_07625_,16.02
_08094_,16.02
_08637_,16.02
_09050_,16.02
_11881_,16.02
_14483_,16.02
u_cpu.cpuregs\[15\]\[2\],16.02
net3692,16.02
net4238,16.02
_11363_,16
_13973_,16
u_cpu.cpuregs\[13\]\[8\],16
u_cpu.cpuregs\[16\]\[1\],16
net311,16
net2192,16
net3874,16
net4348,15.995
_06795_,15.98
_09221_,15.98
_12200_,15.98
_13692_,15.98
u_cpu.cpuregs\[12\]\[12\],15.98
u_cpu.cpuregs\[25\]\[7\],15.98
u_cpu.cpuregs\[9\]\[1\],15.98
u_interconnect.m_axi_wvalid,15.98
_06469_,15.97
net1669,15.965
net2358,15.965
_10249_,15.96
_13731_,15.96
_14039_,15.96
_14328_,15.96
u_cpu.cpuregs\[21\]\[24\],15.96
u_cpu.cpuregs\[22\]\[2\],15.96
u_sram.mem\[12\]\[6\],15.96
u_sram.mem\[25\]\[12\],15.96
u_sram.mem\[28\]\[0\],15.96
u_uart.u_tx.shift_reg\[0\],15.96
u_sram.mem\[47\]\[26\],15.955
_06628_,15.94
_06776_,15.94
_07692_,15.94
_13147_,15.94
u_cpu.cpuregs\[24\]\[10\],15.94
u_cpu.cpuregs\[4\]\[1\],15.94
u_cpu.cpuregs\[8\]\[14\],15.94
_06316_,15.93
_09488_,15.92
u_sram.mem\[30\]\[17\],15.92
_05626_,15.9
_07011_,15.9
_07653_,15.9
u_cpu.cpuregs\[1\]\[12\],15.9
u_cpu.cpuregs\[22\]\[23\],15.9
u_sram.mem\[23\]\[20\],15.9
_04775_,15.88
_12145_,15.88
u_cpu.cpuregs\[26\]\[19\],15.88
u_cpu.cpuregs\[31\]\[0\],15.88
u_cpu.cpuregs\[6\]\[10\],15.88
u_sram.mem\[29\]\[21\],15.88
net2015,15.88
net2448,15.88
_04460_,15.86
_08271_,15.86
_10399_,15.86
_12094_,15.86
_12098_,15.86
u_cpu.cpuregs\[26\]\[30\],15.86
u_sram.mem\[58\]\[0\],15.86
net2028,15.86
net2124,15.86
net3280,15.86
_00886_,15.84
_01546_,15.84
_04849_,15.84
_05885_,15.84
_08292_,15.84
_10372_,15.84
_14339_,15.84
u_cpu.cpuregs\[0\]\[3\],15.84
u_cpu.cpuregs\[18\]\[7\],15.84
u_cpu.cpuregs\[28\]\[2\],15.84
u_sram.mem\[39\]\[20\],15.84
net111,15.84
u_cpu.cpuregs\[1\]\[16\],15.82
u_cpu.cpuregs\[2\]\[11\],15.82
u_sram.mem\[48\]\[27\],15.82
net836,15.82
_04847_,15.8
_08818_,15.8
_09177_,15.8
_10972_,15.8
_11938_,15.8
u_cpu.cpuregs\[17\]\[16\],15.8
u_cpu.cpuregs\[26\]\[21\],15.8
u_cpu.cpuregs\[7\]\[10\],15.8
u_sram.mem\[36\]\[17\],15.8
net1595,15.8
_05368_,15.78
_05876_,15.78
_11905_,15.78
_13054_,15.78
u_cpu.cpuregs\[21\]\[30\],15.78
u_cpu.cpuregs\[30\]\[26\],15.78
net253,15.78
net1884,15.78
_07128_,15.775
_06308_,15.76
_09201_,15.76
_10080_,15.76
_11800_,15.76
_13564_,15.76
u_cpu.cpuregs\[15\]\[21\],15.76
u_sram.mem\[57\]\[20\],15.76
net1914,15.76
_08689_,15.755
_07960_,15.75
_06793_,15.74
_12123_,15.74
_13503_,15.74
_13882_,15.74
_14283_,15.74
u_cpu.cpuregs\[22\]\[17\],15.74
net1809,15.74
net51,15.725
_05196_,15.72
_06601_,15.72
_09584_,15.72
_14554_,15.72
u_cpu.cpuregs\[11\]\[6\],15.72
u_cpu.cpuregs\[13\]\[31\],15.72
u_sram.mem\[8\]\[23\],15.72
net123,15.72
net1851,15.71
_05712_,15.7
_10545_,15.7
_13913_,15.7
_03108_,15.68
_04325_,15.68
_04433_,15.68
_04605_,15.68
_05747_,15.68
_08294_,15.68
_09300_,15.68
u_cpu.cpuregs\[20\]\[0\],15.68
u_sram.mem\[11\]\[24\],15.68
u_sram.mem\[16\]\[30\],15.68
_09957_,15.66
_10603_,15.66
u_cpu.cpuregs\[17\]\[28\],15.66
u_cpu.cpuregs\[19\]\[6\],15.66
u_cpu.cpuregs\[6\]\[28\],15.66
net649,15.66
net1927,15.66
_05187_,15.64
_05773_,15.64
_08853_,15.64
_13158_,15.64
u_cpu.cpuregs\[13\]\[27\],15.64
u_cpu.cpuregs\[18\]\[8\],15.64
u_cpu.cpuregs\[24\]\[6\],15.64
u_cpu.cpuregs\[5\]\[2\],15.64
u_cpu.cpuregs\[5\]\[30\],15.64
u_cpu.cpuregs\[9\]\[16\],15.64
u_sram.mem\[26\]\[20\],15.64
u_sram.mem\[6\]\[19\],15.64
_08885_,15.62
_12190_,15.62
_14464_,15.62
u_cpu.count_cycle\[28\],15.62
u_cpu.cpuregs\[0\]\[6\],15.62
u_cpu.cpuregs\[10\]\[29\],15.62
u_cpu.cpuregs\[27\]\[12\],15.62
u_cpu.cpuregs\[27\]\[13\],15.62
net1302,15.62
_05536_,15.6
_11857_,15.6
_13185_,15.6
_13556_,15.6
u_cpu.cpuregs\[12\]\[25\],15.6
u_cpu.cpuregs\[23\]\[18\],15.6
u_cpu.cpuregs\[7\]\[1\],15.6
u_sram.mem\[26\]\[10\],15.6
u_sram.mem\[54\]\[18\],15.6
net1059,15.6
net1889,15.6
net3641,15.6
_10927_,15.58
u_sram.mem\[16\]\[3\],15.58
u_sram.mem\[62\]\[27\],15.58
_11990_,15.56
u_cpu.cpuregs\[3\]\[26\],15.56
net312,15.545
_05672_,15.54
_07972_,15.54
