net,length_um
_12861_,369.59
_13233_,369.09
_12674_,368.64
_06997_,368.08
u_cpu.pcpi_rs1\[13\],368.06
_07209_,368.035
_07268_,367.395
_13331_,367.35
_10010_,366.655
_11063_,365.85
_07250_,365.815
clknet_5_31__leaf_clk,365.78
_09448_,365.28
_11318_,365.25
_13388_,365.05
_11472_,365.015
_09392_,364.98
_12404_,364.54
_07773_,364.53
_13289_,364.25
_10598_,364.08
_12802_,363.68
_12738_,363.24
_09966_,362.51
_07153_,362.44
_10767_,362.36
_11018_,362.25
_11701_,362.12
_11041_,362.04
_12656_,361.95
_09762_,360.94
_09373_,360.365
_11326_,359.83
_06888_,359.815
_04628_,359.69
_11694_,359.595
_07458_,358.64
_07234_,358.57
_12892_,358.22
_09662_,358.21
clknet_5_22__leaf_clk,357.24
_12981_,356.74
_13269_,356.64
_11917_,356.56
_10644_,356.18
_13235_,356.09
_10596_,355.735
_07225_,355.7
_10058_,355.62
_09636_,355.42
_10019_,355.375
_13326_,355.34
_10235_,355.17
cpu_mem_rdata\[30\],354.59
_06873_,354.36
_13300_,354.35
_06318_,354.265
_12735_,354.24
_08903_,354.09
_14228_,354.08
_11926_,353.82
_06080_,353.46
_11908_,353.1
_12784_,352.94
_09297_,352.92
_11688_,352.68
_10786_,352.52
_11562_,352.52
_09458_,352.49
_12730_,352.25
_09443_,352.025
_06230_,351.655
_06100_,351.62
_13242_,351.07
u_cpu.pcpi_rs1\[22\],350.73
_13316_,350.56
u_cpu.decoded_imm\[7\],350.48
_08032_,350.32
_07439_,350.17
_13402_,350.16
cpu_mem_rdata\[28\],349.95
_06148_,349.415
_11039_,349.315
_11566_,349.23
_12727_,348.88
_09468_,348.825
_11921_,348.5
_06235_,348.48
_11020_,348.42
_00047_,348.015
_06152_,347.91
_11328_,347.665
_07205_,347.03
_07049_,346.82
_09660_,346.58
_09657_,346.52
_12516_,346.28
_13280_,346.01
_12517_,345.72
_13206_,345.675
_12863_,345.31
_13463_,345.25
_09466_,345.18
_06225_,344.38
_11336_,344.24
_13427_,344.22
_11050_,344.06
_13236_,344.06
_13238_,344.03
_11906_,343.42
clknet_5_0__leaf_clk,343.375
_10129_,343.13
_07276_,342.72
_11043_,342.52
_13420_,342.15
_09455_,341.84
_06220_,341.71
_09460_,341.075
_10229_,341.055
net206,341.01
_13323_,340.92
_12894_,340.895
_08030_,340.34
_13286_,340.34
_14217_,339.955
_13344_,339.94
_12514_,339.61
_07232_,339.005
_09968_,338.66
_13271_,338.3
_07096_,338.16
_09308_,337.68
_11444_,337.62
_14334_,337.61
_12515_,336.61
_13311_,336.5
_06315_,336.23
u_cpu.decoded_imm\[21\],336.19
_07252_,335.69
_04731_,335.56
_13246_,335.54
_09408_,335.145
_13243_,335.13
_11924_,335.12
_11048_,334.41
_07162_,334.13
_14361_,333.88
_06112_,333.63
_12801_,333.14
_07383_,332.68
_11752_,332.22
_05907_,332.08
_13409_,331.79
_08010_,331.71
_10739_,331.35
_11560_,331.25
_07105_,330.92
_11498_,330.3
_10610_,330.23
_12669_,329.97
_05896_,329.93
u_cpu.pcpi_rs1\[25\],329.83
_09491_,329.58
_07097_,328.92
_08009_,328.49
_07271_,328.44
_09894_,328.26
_13383_,327.72
_11025_,327.61
_13327_,327.13
_11315_,326.84
_12377_,326.55
_14433_,325.44
_06849_,324.8
_14291_,324.78
_09806_,324.665
_13221_,324.46
_07775_,324.21
_13400_,323.85
_05888_,323.16
_13417_,322.92
_13392_,322.91
_05851_,322.855
_12711_,322.6
_09365_,322.56
net2466,322.52
_14162_,322.39
u_cpu.decoded_imm\[9\],322.315
_08260_,321.815
_06777_,321.22
net4492,321.2
_13387_,321.175
_12860_,320.76
_05905_,320.58
_11551_,320.49
_11547_,320.36
_06326_,320.26
_13963_,319.975
_05825_,319.64
_07123_,319.18
_09960_,319.04
_13278_,319.01
_10140_,319
_13273_,318.98
_07233_,318.4
_08029_,318.06
_14175_,317.975
net1931,317.96
net3246,317.83
_13380_,317.68
cpu_mem_rdata\[26\],317.49
u_cpu.decoded_imm\[12\],317.22
_13230_,317.14
u_cpu.decoded_imm\[17\],317.03
_05331_,316.78
_12681_,316.78
_07254_,316.58
_07229_,316.06
net4481,315.91
_13935_,315.71
_13268_,315.5
u_cpu.decoded_imm\[16\],315.02
_08015_,315
_08250_,314.89
_10736_,314.46
u_cpu.decoded_imm\[23\],314.46
_07114_,313.895
_12722_,313.69
net4484,313.5
_11045_,313.12
_06149_,312.92
_04559_,312.82
_07402_,312.77
_10654_,312.66
net4561,312.66
_13445_,312.62
_05924_,312.6
_13349_,312.43
_06985_,311.865
_09413_,311.39
_13309_,311.13
_09783_,310.99
net4334,310.82
_09898_,310.545
_09398_,310.52
_08031_,310.19
net4479,309.88
cpu_mem_rdata\[16\],309.7
_10220_,309.56
_07501_,308.95
_05295_,308.92
_12654_,308.64
_10611_,308.48
_07028_,308.205
_06197_,308.06
_13259_,308.06
net4449,307.8
_09444_,307.77
_07178_,307.2
_11707_,307.03
_13351_,307
_13964_,306.795
_13440_,306.745
_06870_,306.6
_13394_,306.58
_13936_,306.57
net4520,306.56
net4466,306.47
_12867_,306.42
_11180_,306.36
_09399_,306.16
_12718_,306.025
net1406,305.83
_06885_,305.16
u_cpu.decoded_imm\[13\],305.03
_13404_,304.795
net4488,304.66
_07131_,304.28
_04632_,304.17
_04706_,303.92
net4456,303.82
_13372_,303.35
_14218_,303.14
_12382_,303.1
_08005_,302.6
net4490,302.6
u_cpu.decoded_imm\[20\],302.43
_08011_,302.38
_07039_,302.3
net4720,302.2
_07352_,302.175
_07289_,301.89
net4475,301.825
_09838_,301.8
_12809_,301.675
_12712_,301.47
_07192_,301.36
u_cpu.decoded_imm\[19\],301.36
_06259_,301.09
_12876_,301
clknet_5_1__leaf_clk,301
_12843_,300.96
_11910_,300.92
_14215_,300.92
_12792_,300.78
u_cpu.decoded_imm\[10\],300.72
net4565,300.52
_10007_,300.38
_05719_,300.04
_06010_,300.04
net4646,300
_08012_,299.84
